Unless stated otherwise the Canmore dataset contains Ordnance Survey derived data which is delivered through Canmore website under the terms of the OPEN GOVERNMENT End User Licence.
http://www.ordnancesurvey.co.uk/docs/licences/os-opendata-licence.pdf
"Canmore-download-Mon, 18 Mar 2019 18:07:09 +0000.csv"


CANMORE ID,SITE NUMBER,SITE NAME,SITE TYPE,SITE EASTING,SITE NORTHING,COUNCIL,COUNTY,PARISH,NGR,URL
"152004","NM83NW 36","Lismore, Rubha Na Gaoith","Township (Period Unassigned)","181300","737300","ARGYLL AND BUTE","ARGYLL","LISMORE AND APPIN (ARGYLL AND BUTE)","NM 813 373","http://canmore.org.uk/site/152004",
"152013","NM83NW 33","Lismore, Kilcheran Loch","Building (Period Unassigned), Wall (Period Unassigned)","183240","739770","ARGYLL AND BUTE","ARGYLL","LISMORE AND APPIN (ARGYLL AND BUTE)","NM 8324 3977","http://canmore.org.uk/site/152013",
"152014","NM83NW 34","Lismore, Baligrundle","Farmstead (Period Unassigned)","183550","739600","ARGYLL AND BUTE","ARGYLL","LISMORE AND APPIN (ARGYLL AND BUTE)","NM 8355 3960","http://canmore.org.uk/site/152014",
"152016","NM83NW 32","Lismore, Kilcheran Loch","Farmstead (Period Unassigned)","183050","739740","ARGYLL AND BUTE","ARGYLL","LISMORE AND APPIN (ARGYLL AND BUTE)","NM 8305 3974","http://canmore.org.uk/site/152016",
"152049","NM83NW 38","Lismore, Loch Fiart","Farmstead (Period Unassigned)","181700","737900","ARGYLL AND BUTE","ARGYLL","LISMORE AND APPIN (ARGYLL AND BUTE)","NM 817 379","http://canmore.org.uk/site/152049",
"152050","NM83NW 39","Lismore, Loch Fiart","Building (Period Unassigned)","181160","737980","ARGYLL AND BUTE","ARGYLL","LISMORE AND APPIN (ARGYLL AND BUTE)","NM 8116 3798","http://canmore.org.uk/site/152050",
"152222","NM84SE 43","Lismore, Sliabh Nam Bam-fionn","Farmstead (Period Unassigned)","186770","744580","ARGYLL AND BUTE","ARGYLL","LISMORE AND APPIN (ARGYLL AND BUTE)","NM 8677 4458","http://canmore.org.uk/site/152222",
"152259","NM83NW 35","Lismore, Druim Na Curra","Farmstead (Period Unassigned)","180410","736980","ARGYLL AND BUTE","ARGYLL","LISMORE AND APPIN (ARGYLL AND BUTE)","NM 8041 3698","http://canmore.org.uk/site/152259",
"152274","NM83NW 40","Lismore, Lochan Treshtil","Building (Period Unassigned)","181920","737940","ARGYLL AND BUTE","ARGYLL","LISMORE AND APPIN (ARGYLL AND BUTE)","NM 8192 3794","http://canmore.org.uk/site/152274",
"152275","NM83NW 41","Lismore, Lochan Treshtil","Building (Period Unassigned)","182170","738210","ARGYLL AND BUTE","ARGYLL","LISMORE AND APPIN (ARGYLL AND BUTE)","NM 8217 3821","http://canmore.org.uk/site/152275",
"152276","NM83NW 42","Lismore, Lochan Treshtil","Farmstead (Period Unassigned)","181960","738330","ARGYLL AND BUTE","ARGYLL","LISMORE AND APPIN (ARGYLL AND BUTE)","NM 8196 3833","http://canmore.org.uk/site/152276",
"152277","NM84SE 32","Lismore, Tirefour Castle","Farmstead (Period Unassigned)","186500","742770","ARGYLL AND BUTE","ARGYLL","LISMORE AND APPIN (ARGYLL AND BUTE)","NM 8650 4277","http://canmore.org.uk/site/152277",
"152278","NM84SE 33","Lismore, Clachan","Farmstead (Period Unassigned), Sheep Dip (Period Unassigned)","185680","743200","ARGYLL AND BUTE","ARGYLL","LISMORE AND APPIN (ARGYLL AND BUTE)","NM 8568 4320","http://canmore.org.uk/site/152278",
"152279","NM84SE 34","Lismore, Clachan","Township (Period Unassigned)","185400","743300","ARGYLL AND BUTE","ARGYLL","LISMORE AND APPIN (ARGYLL AND BUTE)","NM 854 433","http://canmore.org.uk/site/152279",
"152280","NM84SE 35","Lismore, Baileouchdarach","Farmstead (Period Unassigned)(Possible)","187100","743600","ARGYLL AND BUTE","ARGYLL","LISMORE AND APPIN (ARGYLL AND BUTE)","NM 8710 4360","http://canmore.org.uk/site/152280",
"152281","NM84SE 36","Lismore, St Moluag's Chair","Farmstead (Period Unassigned)","186770","744010","ARGYLL AND BUTE","ARGYLL","LISMORE AND APPIN (ARGYLL AND BUTE)","NM 8677 4401","http://canmore.org.uk/site/152281",
"152282","NM83NW 43","Lismore, Barr Mor","Farmstead (Period Unassigned)(Possible)","181620","738540","ARGYLL AND BUTE","ARGYLL","LISMORE AND APPIN (ARGYLL AND BUTE)","NM 8162 3854","http://canmore.org.uk/site/152282",
"152283","NM83NW 44","Lismore, Kilcheran","Farmstead (Period Unassigned)","182090","738440","ARGYLL AND BUTE","ARGYLL","LISMORE AND APPIN (ARGYLL AND BUTE)","NM 8209 3844","http://canmore.org.uk/site/152283",
"152284","NM83NW 45","Lismore, Kilcheran","Farmstead (Period Unassigned)","182700","738840","ARGYLL AND BUTE","ARGYLL","LISMORE AND APPIN (ARGYLL AND BUTE)","NM 8270 3884","http://canmore.org.uk/site/152284",
"152285","NM83NW 46","Lismore, Mid Farm","Township (Period Unassigned)","181300","739200","ARGYLL AND BUTE","ARGYLL","LISMORE AND APPIN (ARGYLL AND BUTE)","NM 813 392","http://canmore.org.uk/site/152285",
"152291","NM84SE 37","Lismore, Creag Sgeanach","Farmstead (Period Unassigned)","186080","744340","ARGYLL AND BUTE","ARGYLL","LISMORE AND APPIN (ARGYLL AND BUTE)","NM 8608 4434","http://canmore.org.uk/site/152291",
"152292","NM84SE 38","Lismore, Creag Sgeanach","Building (Period Unassigned)","186210","744360","ARGYLL AND BUTE","ARGYLL","LISMORE AND APPIN (ARGYLL AND BUTE)","NM 8621 4436","http://canmore.org.uk/site/152292",
"152294","NM84SE 40","Lismore, Achuaran","Chapel (Period Unassigned), Township (Period Unassigned)","187600","744200","ARGYLL AND BUTE","ARGYLL","LISMORE AND APPIN (ARGYLL AND BUTE)","NM 876 442","http://canmore.org.uk/site/152294",
"152295","NM84SE 41","Lismore, Port Castle","Farmstead (Period Unassigned)","185530","743880","ARGYLL AND BUTE","ARGYLL","LISMORE AND APPIN (ARGYLL AND BUTE)","NM 8553 4388","http://canmore.org.uk/site/152295",
"152296","NM84SE 42","Lismore, Sliabh Nam Bam-fionn","Building (Period Unassigned)","186970","744670","ARGYLL AND BUTE","ARGYLL","LISMORE AND APPIN (ARGYLL AND BUTE)","NM 8697 4467","http://canmore.org.uk/site/152296",
"152300","NM84SW 191","Lismore, Killean","Farmstead (Period Unassigned)","185120","741780","ARGYLL AND BUTE","ARGYLL","LISMORE AND APPIN (ARGYLL AND BUTE)","NM 8512 4178","http://canmore.org.uk/site/152300",
"152301","NM84SW 192","Lismore, Killean","Farmstead (Period Unassigned)","184880","741630","ARGYLL AND BUTE","ARGYLL","LISMORE AND APPIN (ARGYLL AND BUTE)","NM 8488 4163","http://canmore.org.uk/site/152301",
"152302","NM84SW 193","Lismore, Killean","Farmstead (Period Unassigned)","184530","741330","ARGYLL AND BUTE","ARGYLL","LISMORE AND APPIN (ARGYLL AND BUTE)","NM 8453 4133","http://canmore.org.uk/site/152302",
"152303","NM84SW 194","Lismore, Killean","Farmstead (Period Unassigned)","184290","741160","ARGYLL AND BUTE","ARGYLL","LISMORE AND APPIN (ARGYLL AND BUTE)","NM 8429 4116","http://canmore.org.uk/site/152303",
"152304","NM84SW 195","Lismore, Killean","Building (Period Unassigned), Enclosure (Period Unassigned)","184420","741500","ARGYLL AND BUTE","ARGYLL","LISMORE AND APPIN (ARGYLL AND BUTE)","NM 8442 4150","http://canmore.org.uk/site/152304",
"152305","NM84SW 81","Lismore, Balliveolan","Farmstead (Period Unassigned)","185060","742680","ARGYLL AND BUTE","ARGYLL","LISMORE AND APPIN (ARGYLL AND BUTE)","NM 8506 4268","http://canmore.org.uk/site/152305",
"152306","NM84SW 82","Lismore, Balliveolan, Cameron Cottage","Building (Period Unassigned)","185120","742470","ARGYLL AND BUTE","ARGYLL","LISMORE AND APPIN (ARGYLL AND BUTE)","NM 8512 4247","http://canmore.org.uk/site/152306",
"152307","NM84SW 83","Lismore, Balliveolan","Farmstead (Period Unassigned)","184820","742280","ARGYLL AND BUTE","ARGYLL","LISMORE AND APPIN (ARGYLL AND BUTE)","NM 8482 4228","http://canmore.org.uk/site/152307",
"152308","NM84SW 84","Lismore, Balliveolan","Building (Period Unassigned)","184960","742260","ARGYLL AND BUTE","ARGYLL","LISMORE AND APPIN (ARGYLL AND BUTE)","NM 8496 4226","http://canmore.org.uk/site/152308",
"152309","NM84SW 85","Lismore, Balliveolan","Farmstead (Period Unassigned)","184700","742100","ARGYLL AND BUTE","ARGYLL","LISMORE AND APPIN (ARGYLL AND BUTE)","NM 847 421","http://canmore.org.uk/site/152309",
"152310","NM84SW 86","Lismore, Balliveolan","Farmstead (Period Unassigned)","184900","742110","ARGYLL AND BUTE","ARGYLL","LISMORE AND APPIN (ARGYLL AND BUTE)","NM 8490 4211","http://canmore.org.uk/site/152310",
"152311","NM84SW 87","Lismore, Balliveolan","Farmstead (Period Unassigned)","184670","741870","ARGYLL AND BUTE","ARGYLL","LISMORE AND APPIN (ARGYLL AND BUTE)","NM 8467 4187","http://canmore.org.uk/site/152311",
"152312","NM84SW 88","Lismore, Balliveolan","Farmstead (Period Unassigned)","184320","741760","ARGYLL AND BUTE","ARGYLL","LISMORE AND APPIN (ARGYLL AND BUTE)","NM 8432 4176","http://canmore.org.uk/site/152312",
"152313","NM84SW 89","Lismore, Balliveolan","Farmstead (Period Unassigned)","184200","741600","ARGYLL AND BUTE","ARGYLL","LISMORE AND APPIN (ARGYLL AND BUTE)","NM 842 416","http://canmore.org.uk/site/152313",
"152314","NM84SW 810","Lismore, Balliveolan","Farmstead (Period Unassigned)","184050","741400","ARGYLL AND BUTE","ARGYLL","LISMORE AND APPIN (ARGYLL AND BUTE)","NM 8405 4140","http://canmore.org.uk/site/152314",
"152318","NM84SW 814","Lismore, Balliveolan","Farmstead (Period Unassigned)","183590","741540","ARGYLL AND BUTE","ARGYLL","LISMORE AND APPIN (ARGYLL AND BUTE)","NM 8359 4154","http://canmore.org.uk/site/152318",
"152319","NM84SW 815","Lismore, Balliveolan","Building (Period Unassigned)","183740","741810","ARGYLL AND BUTE","ARGYLL","LISMORE AND APPIN (ARGYLL AND BUTE)","NM 8374 4181","http://canmore.org.uk/site/152319",
"152320","NM84SW 816","Lismore, Balliveolan","Smithy (Period Unassigned)","184390","741510","ARGYLL AND BUTE","ARGYLL","LISMORE AND APPIN (ARGYLL AND BUTE)","NM 8439 4151","http://canmore.org.uk/site/152320",
"152321","NM83NW 47","Lismore, Lochan Treshtil","Building (Period Unassigned), Enclosure (Period Unassigned)","182040","738140","ARGYLL AND BUTE","ARGYLL","LISMORE AND APPIN (ARGYLL AND BUTE)","NM 8204 3814","http://canmore.org.uk/site/152321",
"152322","NM84SW 817","Lismore, Balliveolan, Argyll Cottage","Farmstead (Period Unassigned)","184250","741340","ARGYLL AND BUTE","ARGYLL","LISMORE AND APPIN (ARGYLL AND BUTE)","NM 8425 4134","http://canmore.org.uk/site/152322",
"152323","NM84SW 818","Lismore, Balliveolan, Rose Cottage","Farmstead (Period Unassigned)","184180","741220","ARGYLL AND BUTE","ARGYLL","LISMORE AND APPIN (ARGYLL AND BUTE)","NM 8418 4122","http://canmore.org.uk/site/152323",
"153465","NT27SE 4151","Edinburgh, 13 Lismore Avenue","Term Pending","328161.5113","674051.5934","EDINBURGH, CITY OF","MIDLOTHIAN","EDINBURGH (EDINBURGH, CITY OF)","NT 2816 7405","http://canmore.org.uk/site/153465",
"155405","NM84NE 5","Lismore, General","General View","188300","745400","ARGYLL AND BUTE","ARGYLL","LISMORE AND APPIN (ARGYLL AND BUTE)","NM 883 454","http://canmore.org.uk/site/155405",
"155469","NM84SE 46","Lismore, Achnacroish","Village (Period Unassigned)","185100","740900","ARGYLL AND BUTE","ARGYLL","LISMORE AND APPIN (ARGYLL AND BUTE)","NM 851 409","http://canmore.org.uk/site/155469",
"155519","NM84SW 819","Lismore, An Sailean, Quay","Harbour (Period Unassigned), Quay (Period Unassigned)","183540","741460","ARGYLL AND BUTE","ARGYLL","LISMORE AND APPIN (ARGYLL AND BUTE)","NM 8354 4146","http://canmore.org.uk/site/155519",
"155522","NM84SE 47","Lismore, Bachuil House","House (18th Century)","186324","743781","ARGYLL AND BUTE","ARGYLL","LISMORE AND APPIN (ARGYLL AND BUTE)","NM 86324 43781","http://canmore.org.uk/site/155522",
"155524","NM73NE 8","Lismore, Eilean Musdile, Bridge","Bridge (Period Unassigned)","178120","735390","ARGYLL AND BUTE","ARGYLL","LISMORE AND APPIN (ARGYLL AND BUTE)","NM 7812 3539","http://canmore.org.uk/site/155524",
"155542","NM83NW 480","Lismore, Kilcheran House","Farmhouse (Period Unassigned), Farmstead (Period Unassigned), Manse (Period Unassigned)","182443","738783","ARGYLL AND BUTE","ARGYLL","LISMORE AND APPIN (ARGYLL AND BUTE)","NM 82443 38783","http://canmore.org.uk/site/155542",
"155543","NM83NW 481","Lismore, Kilcheran House, Chapel","Chapel (Period Unassigned)","182451","738786","ARGYLL AND BUTE","ARGYLL","LISMORE AND APPIN (ARGYLL AND BUTE)","NM 82451 38786","http://canmore.org.uk/site/155543",
"155546","NM84SE 480","Lismore, Achuaran","House (Period Unassigned)","187920","744490","ARGYLL AND BUTE","ARGYLL","LISMORE AND APPIN (ARGYLL AND BUTE)","NM 8792 4449","http://canmore.org.uk/site/155546",
"155547","NM84SE 481","Lismore, Achuaran Cottage","Cottage (Period Unassigned)","187980","744500","ARGYLL AND BUTE","ARGYLL","LISMORE AND APPIN (ARGYLL AND BUTE)","NM 8798 4450","http://canmore.org.uk/site/155547",
"155549","NM84SE 49","Lismore, Balnagown","Farmstead (Period Unassigned)","185630","741880","ARGYLL AND BUTE","ARGYLL","LISMORE AND APPIN (ARGYLL AND BUTE)","NM 8563 4188","http://canmore.org.uk/site/155549",
"155551","NM84SE 50","Lismore, Cameron Monument","Commemorative Monument (Period Unassigned)","185530","741560","ARGYLL AND BUTE","ARGYLL","LISMORE AND APPIN (ARGYLL AND BUTE)","NM 8553 4156","http://canmore.org.uk/site/155551",
"155559","NM84NE 12","Lismore, Port Ramsay, No. 4 Cottage","Cottage (Period Unassigned)","188223","745428","ARGYLL AND BUTE","ARGYLL","LISMORE AND APPIN (ARGYLL AND BUTE)","NM 88223 45428","http://canmore.org.uk/site/155559",
"160398","NM73NE 9","Lismore, Eilean Musdile, Cottages","Cottage(S) (Period Unassigned)","177940","735300","ARGYLL AND BUTE","ARGYLL","LISMORE AND APPIN (ARGYLL AND BUTE)","NM 7794 3530","http://canmore.org.uk/site/160398",
"160416","NM84NE 6","Lismore, Port Ramsay, General","Village (Period Unassigned)","188270","745390","ARGYLL AND BUTE","ARGYLL","LISMORE AND APPIN (ARGYLL AND BUTE)","NM 8827 4539","http://canmore.org.uk/site/160416",
"165836","NM84SE 52","Achnacroish, Pier","Pier (Period Unassigned)","185230","740910","ARGYLL AND BUTE","ARGYLL","LISMORE AND APPIN (ARGYLL AND BUTE)","NM 8523 4091","http://canmore.org.uk/site/165836",
"165867","NM83NW 271","Lismore, Port Kilcheran, Limekilns, Quarry","Limestone Quarry (Period Unassigned)","182500","738650","ARGYLL AND BUTE","ARGYLL","LISMORE AND APPIN (ARGYLL AND BUTE)","NM 8250 3865","http://canmore.org.uk/site/165867",
"165868","NM83NW 272","Lismore, Port Kilcheran, Limekilns, Harbour","Harbour (Period Unassigned)","182590","738650","ARGYLL AND BUTE","ARGYLL","LISMORE AND APPIN (ARGYLL AND BUTE)","NM 8259 3865","http://canmore.org.uk/site/165868",
"171238","NM84NE 30","Lismore, Port Ramsey, Limestone Quarry","Limestone Quarry (Period Unassigned)","188420","745540","ARGYLL AND BUTE","ARGYLL","LISMORE AND APPIN (ARGYLL AND BUTE)","NM 8842 4554","http://canmore.org.uk/site/171238",
"172683","NS56NE 2363","Glasgow, 115 Kelvin Drive, Lismore House","Villa (19th Century)","256831","667705","GLASGOW, CITY OF","LANARKSHIRE","GLASGOW (CITY OF GLASGOW)","NS 56831 67705","http://canmore.org.uk/site/172683",
"181109","NS79SE 235","Stirling, 20 Manse Crescent, St Ninian's Manse","Manse (Period Unassigned)","279572","691756","STIRLING","STIRLINGSHIRE","STIRLING","NS 79572 91756","http://canmore.org.uk/site/181109",
"185084","NM84SE 54","Lismore, Anti-aircraft Battery","Anti Aircraft Battery (20th Century)","186000","744160","ARGYLL AND BUTE","ARGYLL","LISMORE AND APPIN (ARGYLL AND BUTE)","NM 8600 4416","http://canmore.org.uk/site/185084",
"198831","NS46SE 480","Paisley, 29 Thornly Park Avenue, Lismore","Villa (20th Century)","248897","661951","RENFREWSHIRE","RENFREWSHIRE","PAISLEY (RENFREW)","NS 48897 61951","http://canmore.org.uk/site/198831",
"205697","NT27SE 4509","Edinburgh, Bingham Avenue, Lismore Primary School","School (Period Unassigned)","329810","672400","EDINBURGH, CITY OF","MIDLOTHIAN","EDINBURGH (EDINBURGH, CITY OF)","NT 2981 7240","http://canmore.org.uk/site/205697",
"206939","NS56NE 2828","Glasgow, Lismore Road, Scrapyard","Scrap Yard (20th Century)","255610","667860","GLASGOW, CITY OF","LANARKSHIRE","GOVAN (CITY OF GLASGOW)","NS 5561 6786","http://canmore.org.uk/site/206939",
"207400","NT67NE 216","Dunbar, 5 East Links Road, Lismore","Terraced House (Period Unassigned)","368233","678671","EAST LOTHIAN","EAST LOTHIAN","DUNBAR","NT 68233 78671","http://canmore.org.uk/site/207400",
"212924","NM83NW 8011","Liberty: Auchindown Bay, Lismore, Loch Linnhe","Smack (19th Century)","180500","738600","ARGYLL AND BUTE","ARGYLL","LISMORE AND APPIN (ARGYLL AND BUTE)","NM 805 386","http://canmore.org.uk/site/212924",
"212973","NM73SE 8007","Industry: Firth Of Lorn","Lugger (20th Century)","178100","734740","ARGYLL AND BUTE","NOT APPLICABLE","MARITIME - ARGYLL AND BUTE","NM 7810 3474","http://canmore.org.uk/site/212973",
"214566","NS97NE 248","Linlithgow, Union Road, Lindisfarne","Manse (Period Unassigned)","299784","676945","WEST LOTHIAN","WEST LOTHIAN","LINLITHGOW","NS 99784 76945","http://canmore.org.uk/site/214566",
"220752","NM83NW 50","Baligrundle","Findspot, Shoe (Leather)","183300","739600","ARGYLL AND BUTE","ARGYLL","LISMORE AND APPIN (ARGYLL AND BUTE)","NM 833 396","http://canmore.org.uk/site/220752",
"233504","NM84NE 7","Lismore, Port Ramsay No. 1 Cottage","Cottage (Period Unassigned)","188250","745459","ARGYLL AND BUTE","ARGYLL","LISMORE AND APPIN (ARGYLL AND BUTE)","NM 88250 45459","http://canmore.org.uk/site/233504",
"233505","NM84NE 8","Lismore, Port Ramsay No. 2 Cottage","Cottage (Period Unassigned)","188244","745451","ARGYLL AND BUTE","ARGYLL","LISMORE AND APPIN (ARGYLL AND BUTE)","NM 88244 45451","http://canmore.org.uk/site/233505",
"233552","NM84NE 9","Lismore, Port Ramsay, No.12 Cottage","Cottage (Period Unassigned)","188169","745364","ARGYLL AND BUTE","ARGYLL","LISMORE AND APPIN (ARGYLL AND BUTE)","NM 88169 45364","http://canmore.org.uk/site/233552",
"233554","NM84NE 10","Lismore, Port Ramsay, No. 13 Cottage","Cottage (Period Unassigned)","188162","745358","ARGYLL AND BUTE","ARGYLL","LISMORE AND APPIN (ARGYLL AND BUTE)","NM 88162 45358","http://canmore.org.uk/site/233554",
"239503","NM84NE 11","Lismore, Port Ramsay, No. 3 Cottage","Cottage (Period Unassigned)","188229","745434","ARGYLL AND BUTE","ARGYLL","LISMORE AND APPIN (ARGYLL AND BUTE)","NM 88229 45434","http://canmore.org.uk/site/239503",
"241859","NN15NE 180","Glen Coe, Lairig Eilde Bridge","No Class (Event)","218310","756210","HIGHLAND","ARGYLL","LISMORE AND APPIN (LOCHABER)","NN 1831 5621","http://canmore.org.uk/site/241859",
"248149","NM73SE 8008","Rhind: Lady's Rock, Firth Of Lorn","Schooner (19th Century)","177200","734300","ARGYLL AND BUTE","NOT APPLICABLE","MARITIME - ARGYLL AND BUTE","NM 772 343","http://canmore.org.uk/site/248149",
"251413","NM84NE 13","Lismore, Port Ramsay, No. 5 Cottage","Cottage (Period Unassigned)","188216","745420","ARGYLL AND BUTE","ARGYLL","LISMORE AND APPIN (ARGYLL AND BUTE)","NM 88216 45420","http://canmore.org.uk/site/251413",
"251414","NM84NE 14","Lismore, Port Ramsay, No. 6 Cottage","Cottage (Period Unassigned)","188211","745415","ARGYLL AND BUTE","ARGYLL","LISMORE AND APPIN (ARGYLL AND BUTE)","NM 88211 45415","http://canmore.org.uk/site/251414",
"251415","NM84NE 15","Lismore, Port Ramsay, No. 7 Cottage","Cottage (Period Unassigned)","188206","745408","ARGYLL AND BUTE","ARGYLL","LISMORE AND APPIN (ARGYLL AND BUTE)","NM 88206 45408","http://canmore.org.uk/site/251415",
"251416","NM84NE 16","Lismore, Port Ramsay, No. 8 Cottage","Cottage (Period Unassigned)","188199","745401","ARGYLL AND BUTE","ARGYLL","LISMORE AND APPIN (ARGYLL AND BUTE)","NM 88199 45401","http://canmore.org.uk/site/251416",
"251417","NM84NE 17","Lismore, Port Ramsay, No. 9 Cottage","Cottage (Period Unassigned)","188196","743398","ARGYLL AND BUTE","ARGYLL","LISMORE AND APPIN (ARGYLL AND BUTE)","NM 88196 43398","http://canmore.org.uk/site/251417",
"251418","NM84NE 18","Lismore, Port Ramsay, No. 10 Cottage","Cottage (Period Unassigned)","188192","745393","ARGYLL AND BUTE","ARGYLL","LISMORE AND APPIN (ARGYLL AND BUTE)","NM 88192 45393","http://canmore.org.uk/site/251418",
"251419","NM84NE 19","Lismore, Port Ramsay, No. 11 Cottage","Cottage (Period Unassigned)","188185","745386","ARGYLL AND BUTE","ARGYLL","LISMORE AND APPIN (ARGYLL AND BUTE)","NM 88185 45386","http://canmore.org.uk/site/251419",
"255296","NM73SE 8013","Hugh Crawford: Loch Linnhe","Smack (19th Century)","179000","734000","ARGYLL AND BUTE","NOT APPLICABLE","MARITIME - ARGYLL AND BUTE","NM 79 34","http://canmore.org.uk/site/255296",
"255365","NM73SE 8011","Celerity: Lady's Rock, Firth Of Lorn","Ketch (19th Century)","177200","734300","ARGYLL AND BUTE","NOT APPLICABLE","MARITIME - ARGYLL AND BUTE","NM 772 343","http://canmore.org.uk/site/255365",
"264631","NM73NE 51","Lismore, Eilean Musdile, Lighthouse, North Keeper's House","Lighthouse Keepers House (Period Unassigned)","177821","735121","ARGYLL AND BUTE","ARGYLL","LISMORE AND APPIN (ARGYLL AND BUTE)","NM 77821 35121","http://canmore.org.uk/site/264631",
"264632","NM73NE 52","Lismore, Eilean Musdile, Lighthouse, South Keeper's House","Lighthouse Keepers House (Period Unassigned)","177832","735111","ARGYLL AND BUTE","ARGYLL","LISMORE AND APPIN (ARGYLL AND BUTE)","NM 77832 35111","http://canmore.org.uk/site/264632",
"264639","NM83NW 274","Lismore, Port Kilcheran, Limekilns, Cottage","Cottage (Period Unassigned)","182566","738622","ARGYLL AND BUTE","ARGYLL","LISMORE AND APPIN (ARGYLL AND BUTE)","NM 82566 38622","http://canmore.org.uk/site/264639",
"264640","NM83NW 275","Lismore, Port Kilcheran, Limekilns, Store","Storehouse (Period Unassigned)","182576","738644","ARGYLL AND BUTE","ARGYLL","LISMORE AND APPIN (ARGYLL AND BUTE)","NM 82576 38644","http://canmore.org.uk/site/264640",
"273160","NM83NW 51","Baligrundle","Findspot, Axehead (Neolithic)","183200","739500","ARGYLL AND BUTE","ARGYLL","LISMORE AND APPIN (ARGYLL AND BUTE)","NM 832 395","http://canmore.org.uk/site/273160",
"273161","NM83NW 52","Kilcheran","Findspot, Plate (Gold)(Viking)","182000","738000","ARGYLL AND BUTE","ARGYLL","LISMORE AND APPIN (ARGYLL AND BUTE)","NM 82 38","http://canmore.org.uk/site/273161",
"273162","NM83NW 53","Kilcheran","Findspot, Plate","182000","738000","ARGYLL AND BUTE","ARGYLL","LISMORE AND APPIN (ARGYLL AND BUTE)","NM 82 38","http://canmore.org.uk/site/273162",
"281502","NM83NW 54","An Doirlinn","Fish Trap (Period Unassigned)","180090","739590","ARGYLL AND BUTE","ARGYLL","LISMORE AND APPIN (ARGYLL AND BUTE)","NM 80090 39590","http://canmore.org.uk/site/281502",
"281673","NN26SW 27","Blackwater Reservoir, Loch Leven And Glencoe","No Class (Event)","224700","760300","HIGHLAND","ARGYLL","LISMORE AND APPIN (LOCHABER)","NN 247 603","http://canmore.org.uk/site/281673",
"282854","NM84SW 8008","Unknown: Lismore, Loch Linnhe","Craft (19th Century)","","","ARGYLL AND BUTE","NOT APPLICABLE","MARITIME - ARGYLL AND BUTE","NM  ","http://canmore.org.uk/site/282854",
"283728","NN05NE 37","Ballachulish, An Dubh","No Class (Event)","208090","758430","HIGHLAND","ARGYLL","LISMORE AND APPIN (LOCHABER)","NN 0809 5843","http://canmore.org.uk/site/283728",
"283729","NM95SE 12","Bealach Forest","No Class (Event)","199000","752000","HIGHLAND","ARGYLL","LISMORE AND APPIN (LOCHABER)","NM 99 52","http://canmore.org.uk/site/283729",
"293274","NM82NE 181","Oban, Lismore House","Shop (Period Unassigned), Tenement (Period Unassigned)","185807","729869","ARGYLL AND BUTE","ARGYLL","KILMORE AND KILBRIDE","NM 85807 29869","http://canmore.org.uk/site/293274",
"293459","NN16SE 67","Lochaber, Kinlochleven","No Class (Event)","218930","761910","HIGHLAND","ARGYLL","LISMORE AND APPIN (LOCHABER)","NN 1893 6191","http://canmore.org.uk/site/293459",
"294197","NM73NE 8009","B C Bailey: Lismore, Loch Linnhe","Craft (19th Century)","179000","739000","ARGYLL AND BUTE","NOT APPLICABLE","MARITIME - ARGYLL AND BUTE","NM 79 39","http://canmore.org.uk/site/294197",
"294199","NM83NW 8002","Short Sunderland I Flying Boat: Lismore, Loch Linnhe","Aircraft (20th Century)","184000","739000","ARGYLL AND BUTE","NOT APPLICABLE","MARITIME - ARGYLL AND BUTE","NM 84 39","http://canmore.org.uk/site/294199",
"294200","NM83NW 8003","Short Sunderland Flying Boat: Lismore, Loch Linnhe","Aircraft (20th Century)","184000","739000","ARGYLL AND BUTE","NOT APPLICABLE","MARITIME - ARGYLL AND BUTE","NM 84 39","http://canmore.org.uk/site/294200",
"294204","NM83NW 8012","Unknown: Lismore, Loch Linnhe","Ship (19th Century)","184000","739000","ARGYLL AND BUTE","NOT APPLICABLE","MARITIME - ARGYLL AND BUTE","NM 84 39","http://canmore.org.uk/site/294204",
"294205","NM83NW 8008","Sarah: Lismore, Loch Linnhe","Sloop (19th Century)","184000","739000","ARGYLL AND BUTE","NOT APPLICABLE","MARITIME - ARGYLL AND BUTE","NM 84 39","http://canmore.org.uk/site/294205",
"294206","NM83NW 8004","Pansy: Lismore, Loch Linnhe","Lugger (20th Century)","184000","739000","ARGYLL AND BUTE","NOT APPLICABLE","MARITIME - ARGYLL AND BUTE","NM 84 39","http://canmore.org.uk/site/294206",
"294207","NM83NW 8005","Unknown: Loch Linnhe","Craft (19th Century)","","","ARGYLL AND BUTE","NOT APPLICABLE","MARITIME - ARGYLL AND BUTE","NM  ","http://canmore.org.uk/site/294207",
"294208","NM83NW 8006","Dasher: Lismore, Loch Linnhe","Sloop","","","ARGYLL AND BUTE","NOT APPLICABLE","MARITIME - ARGYLL AND BUTE","NM  ","http://canmore.org.uk/site/294208",
"294209","NM83NW 8007","Lark: Lismore, Loch Linnhe","Sloop (19th Century)","184000","739000","ARGYLL AND BUTE","NOT APPLICABLE","MARITIME - ARGYLL AND BUTE","NM 84 39","http://canmore.org.uk/site/294209",
